date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:36	31820/31820	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2011:16:36%20GMT	https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html	/home/kumartej/websites/agriculture_3/demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html	(from )
16:46:37	1002/1002	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2011:16:37%20GMT	https://demo.w3layouts.com/robots.txt		(from )
16:46:38	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%221552371243%22	https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/css/bootstrap.min.css	/home/kumartej/websites/agriculture_3/demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/css/bootstrap.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html)
16:46:39	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221552371243%22	https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/css/font-awesome.min.css	/home/kumartej/websites/agriculture_3/demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html)
16:46:40	23319/23319	---M-Z	200	added ('OK')	text/css	etag:%221552371243%22	https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/css/style.css	/home/kumartej/websites/agriculture_3/demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/css/style.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html)
16:46:41	792/792	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2011:16:41%20GMT	http://fonts.googleapis.com/css?family=Raleway:400,500,600,700	/home/kumartej/websites/agriculture_3/fonts.googleapis.com/cssd8eb.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html)
16:46:42	196/196	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2011:16:42%20GMT	http://fonts.googleapis.com/css?family=Patrick+Hand	/home/kumartej/websites/agriculture_3/fonts.googleapis.com/css7c35.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html)
16:46:43	539/539	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2011:16:43%20GMT	http://fonts.googleapis.com/css?family=Roboto:400,500,700	/home/kumartej/websites/agriculture_3/fonts.googleapis.com/css1fd7.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html)
16:46:45	67568/67568	---MCZ	200	added ('OK')	application/javascript	etag:W/%224896c8077f50520418d4d1ab293b6545%22	http://m.servedby-buysellads.com/monetization.js	/home/kumartej/websites/agriculture_3/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html)
16:46:45	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221611161698%22	https://demo.w3layouts.com/assests/css/font-awesome.min.css	/home/kumartej/websites/agriculture_3/demo.w3layouts.com/assests/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html)
16:46:47	66113/66113	---M--	200	added ('OK')	image/jpeg	etag:%221573816467%22	https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/images/bb1.jpg	/home/kumartej/websites/agriculture_3/demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/images/bb1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html)
16:46:48	62361/62361	---M--	200	added ('OK')	image/jpeg	etag:%221573816467%22	https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/images/bb2.jpg	/home/kumartej/websites/agriculture_3/demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/images/bb2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-03-2019/organic_store-demo_Free/323914130/web/index.html)
